"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.936879214E2,6.500805652E1,2.560621929E1,2.878713896E1,1.509475571E0,6.982522583E1,4.748651475E0,6.185120947E0
1.946879189E2,6.500806227E1,2.560625206E1,2.878231587E1,1.504136901E0,6.982522583E1,4.748651475E0,6.172268107E0
1.956879153E2,6.500806620E1,2.560628558E1,2.860545705E1,1.495606165E0,6.982522583E1,4.748651485E0,5.988686512E0
1.966879127E2,6.500806928E1,2.560632071E1,2.810332764E1,1.453020834E0,6.982522583E1,4.748651481E0,5.923214533E0
1.976879097E2,6.500808452E1,2.560634776E1,2.852232978E1,1.507946567E0,6.982522583E1,4.748651411E0,5.968413016E0
1.986879069E2,6.500809160E1,2.560638116E1,2.780579716E1,1.500574705E0,6.982522583E1,4.748651420E0,5.987156348E0
1.996879048E2,6.500809570E1,2.560641583E1,2.821021231E1,1.480167064E0,6.982522583E1,4.748651440E0,6.054531116E0
2.006879019E2,6.500809241E1,2.560645362E1,2.794413621E1,1.500856154E0,6.982522583E1,4.748651508E0,6.019502361E0
2.016878992E2,6.500809826E1,2.560648694E1,2.792375342E1,1.511634176E0,6.982522583E1,4.748651490E0,6.050605464E0
2.026878957E2,6.500810552E1,2.560651954E1,2.874307208E1,1.551225770E0,6.982522583E1,4.748651500E0,6.033725193E0
2.036878926E2,6.500811196E1,2.560655429E1,2.843226692E1,1.647158218E0,6.982522583E1,4.748651496E0,6.028804983E0
2.046878892E2,6.500811943E1,2.560658467E1,2.832393613E1,1.632703059E0,6.982522583E1,4.748651450E0,6.203451940E0
2.056878874E2,6.500812531E1,2.560661473E1,2.811016800E1,1.621920034E0,6.982522583E1,4.748651443E0,6.308941566E0
2.066878833E2,6.500812998E1,2.560664778E1,2.758114861E1,1.617238912E0,6.982522583E1,4.748651416E0,6.258857373E0
2.076878810E2,6.500813474E1,2.560668128E1,2.778947350E1,1.636223152E0,6.982522583E1,4.748651424E0,6.271218013E0
2.086878779E2,6.500814380E1,2.560671339E1,2.834743418E1,1.645354495E0,6.996697998E1,4.748651442E0,6.190537320E0
